EPOCH=001,Accuracy= 99.799%
EPOCH=002,Accuracy= 99.877%
EPOCH=003,Accuracy= 99.885%
EPOCH=004,Accuracy= 99.899%
EPOCH=005,Accuracy= 99.877%
EPOCH=006,Accuracy= 99.906%
EPOCH=007,Accuracy= 99.909%
EPOCH=008,Accuracy= 99.754%
EPOCH=009,Accuracy= 99.900%
EPOCH=010,Accuracy= 99.884%
EPOCH=011,Accuracy= 99.915%
EPOCH=012,Accuracy= 99.900%
EPOCH=013,Accuracy= 99.882%
EPOCH=014,Accuracy= 99.784%
EPOCH=015,Accuracy= 99.902%
EPOCH=016,Accuracy= 99.899%
EPOCH=017,Accuracy= 99.789%
EPOCH=018,Accuracy= 99.898%
EPOCH=019,Accuracy= 99.895%
EPOCH=020,Accuracy= 99.873%
EPOCH=021,Accuracy= 99.883%
EPOCH=022,Accuracy= 99.880%
EPOCH=023,Accuracy= 99.907%
EPOCH=024,Accuracy= 99.832%
EPOCH=025,Accuracy= 99.886%
EPOCH=026,Accuracy= 99.908%
EPOCH=027,Accuracy= 99.781%
EPOCH=028,Accuracy= 99.916%
EPOCH=029,Accuracy= 99.863%
EPOCH=030,Accuracy= 99.882%
EPOCH=031,Accuracy= 99.826%
EPOCH=032,Accuracy= 99.766%
EPOCH=033,Accuracy= 99.760%
EPOCH=034,Accuracy= 99.911%
EPOCH=035,Accuracy= 99.726%
EPOCH=036,Accuracy= 99.907%
EPOCH=037,Accuracy= 99.850%
EPOCH=038,Accuracy= 99.906%
EPOCH=039,Accuracy= 99.811%
EPOCH=040,Accuracy= 99.778%
EPOCH=041,Accuracy= 99.811%
EPOCH=042,Accuracy= 99.714%
EPOCH=043,Accuracy= 99.899%
EPOCH=044,Accuracy= 99.899%
EPOCH=045,Accuracy= 99.735%
EPOCH=046,Accuracy= 99.686%
EPOCH=047,Accuracy= 99.656%
EPOCH=048,Accuracy= 99.781%
EPOCH=049,Accuracy= 99.908%
EPOCH=050,Accuracy= 99.739%
EPOCH=051,Accuracy= 99.785%
EPOCH=052,Accuracy= 99.775%
EPOCH=053,Accuracy= 99.768%
EPOCH=054,Accuracy= 99.885%
EPOCH=055,Accuracy= 99.864%
